calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,General_category
381,0.1,0.00,0.00,9.00,0.4,0.00,0.00,0.000,0.000,0.000,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0.00,0.00,2.00,0.050,0.47,3.00,0.053,13.00,3.00,2.8,0.06,0.26,0.019,0.012,0.020,0.006,0.053,0.009,0.008,0.00,0.010,0.036,0.006,0.006,0.013,0.024,0.012,0.009,0.001,0.010,0.014,91.27,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.009,0.016,0.025,0.00,0.00,0.09,0.00,0.00,8.32,processed food product
300,24,15,72,842.00,15.4,62.00,0.00,0.630,1.364,0.488,0.028,820.00,241.00,0.00,12.00,0.00,0.00,1.30,0.227,0.00,18.00,0.21,0.21,2.0,388.00,0.021,0.33,20.00,0.038,347.00,187.00,14.5,2.38,19.80,0.819,0.701,1.288,0.109,4.187,0.379,0.683,0.00,0.968,1.840,1.766,0.565,1.105,2.346,1.114,0.717,0.307,1.145,1.279,0.46,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,24.26,15.259,7.023,0.724,72.00,0.00,3.68,0.00,0.00,51.80,animal food product
290,18,2.8,0.00,490.00,82.0,102.00,0.00,12.000,0.00,0.900,1.100,0.00,0.00,0.00,0.00,0.00,0.00,4.20,1.500,0.00,0.00,3.45,3.45,0.00,95.00,0.925,2.00,23.00,0.00,450.00,600.00,1.0,1.40,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,6.1,0.80,0.00,0.00,0.00,0.00,0.00,0.00,18.00,2.849,4.376,9.332,0.00,0.00,5.00,0.00,0.00,45.00,processed food product
25,0.00,0.00,0.00,781.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,313.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,3.1,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,89.90,food product component
51,0.1,0.00,0.00,5.00,1.5,7.00,0.00,0.080,0.070,0.003,0.003,692.00,35.00,0.00,402.00,26.00,0.00,0.00,0.015,15.2,0.00,0.21,0.21,0.8,17.00,0.015,0.36,3.00,0.028,2.00,24.00,0.4,0.02,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.12,0.3,12.45,5.56,0.00,5.31,0.00,0.56,1.02,0.06,0.014,0.022,0.011,0.00,0.00,0.08,0.00,0.00,86.63,plant food product
215,15,3.9,84,67.00,13.3,86.00,0.00,0.400,0.00,0.200,0.060,100.00,30.00,0.00,0.00,0.00,0.00,0.47,0.010,0.00,8.00,0.27,0.27,0.2,88.00,0.102,0.91,5.00,0.00,83.00,31.00,3.6,0.69,19.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.60,3.920,5.500,2.980,84.00,0.00,0.00,0.00,0.00,65.80,plant food product
134,4.5,1.3,70,51.00,0.00,7.00,0.00,8.200,0.787,0.285,0.283,57.00,17.00,0.00,0.00,0.00,0.00,0.47,0.530,7.2,0.00,0.00,0.00,0.00,13.00,0.594,4.51,25.00,0.019,307.00,237.00,17.4,2.70,21.76,1.341,1.379,1.814,0.380,2.820,1.442,0.825,0.00,1.187,1.866,1.905,0.689,0.944,0.797,1.062,1.090,0.341,1.010,1.180,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.53,1.320,1.280,1.170,70.00,0.00,1.32,0.00,0.00,70.03,animal food product
316,16,2.5,0.00,374.00,0.00,18.00,15.00,1.425,0.110,0.106,0.141,32.00,2.00,0.00,0.00,0.00,0.00,0.08,0.030,0.00,0.00,0.00,0.00,0.00,22.00,0.047,1.22,10.00,0.224,43.00,65.00,2.4,0.23,3.00,0.093,0.112,0.156,0.059,0.906,0.098,0.062,0.00,0.120,0.211,0.121,0.052,0.138,0.314,0.154,0.089,0.042,0.090,0.138,42.60,2.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.10,2.457,7.449,5.376,0.00,0.00,1.10,0.00,0.00,37.60,multi-component food product
29,0.4,0.1,0.00,3.00,7.5,27.00,0.00,1.280,0.315,0.070,0.040,1078.00,54.00,67.00,561.00,105.00,861.00,0.00,0.419,118.6,0.00,3.58,3.58,18.5,12.00,0.046,0.25,15.00,0.097,26.00,248.00,0.4,0.14,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,2.8,4.12,2.63,0.00,1.48,0.00,0.00,0.00,0.37,0.092,0.029,0.112,0.00,0.00,0.53,0.00,0.00,91.69,plant food product
148,0.9,0.2,0.00,35.00,0.00,19.00,0.00,1.640,0.116,0.149,0.379,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.075,0.00,0.00,0.00,0.00,0.00,30.00,1.386,2.00,24.00,0.532,45.00,586.00,0.7,1.39,11.60,0.397,0.412,1.735,0.197,0.800,0.390,0.241,0.00,0.425,0.640,0.592,0.143,0.451,0.679,0.464,0.451,0.252,0.353,0.599,28.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.222,0.234,0.174,0.00,0.00,2.00,0.00,0.00,57.40,plant food product
