calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,General_category
300.0,24.0,15.0,72.0,842.0,15.4,62.0,0.0,0.63,1.364,0.488,0.028,820.0,241.0,0.0,12.0,0.0,0.0,1.3,0.227,0.0,18.0,0.21,0.21,2.0,388.0,0.021,0.33,20.0,0.038,347.0,187.0,14.5,2.38,19.8,0.819,0.701,1.288,0.109,4.187,0.379,0.683,0.0,0.968,1.84,1.766,0.565,1.105,2.346,1.114,0.717,0.307,1.145,1.279,0.46,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,24.26,15.259,7.023,0.724,72.0,0.0,3.68,0.0,0.0,51.8,animal food product
25.0,0.0,0.0,0.0,781.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,3.1,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.85,0.0,0.0,89.9,food product component
51.0,0.1,0.0,0.0,5.0,1.5,7.0,0.0,0.08,0.07,0.003,0.003,692.0,35.0,0.0,402.0,26.0,0.0,0.0,0.015,15.2,0.0,0.21,0.21,0.8,17.0,0.015,0.36,3.0,0.028,2.0,24.0,0.4,0.02,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,0.3,12.45,5.56,0.0,5.31,0.0,0.56,1.02,0.06,0.014,0.022,0.011,0.0,0.0,0.08,0.0,0.0,86.63,plant food product
215.0,15.0,3.9,84.0,67.0,13.3,86.0,0.0,0.4,0.0,0.2,0.06,100.0,30.0,0.0,0.0,0.0,0.0,0.47,0.01,0.0,8.0,0.27,0.27,0.2,88.0,0.102,0.91,5.0,0.0,83.0,31.0,3.6,0.69,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,3.92,5.5,2.98,84.0,0.0,0.0,0.0,0.0,65.8,plant food product
134.0,4.5,1.3,70.0,51.0,0.0,7.0,0.0,8.2,0.787,0.285,0.283,57.0,17.0,0.0,0.0,0.0,0.0,0.47,0.53,7.2,0.0,0.0,0.0,0.0,13.0,0.594,4.51,25.0,0.019,307.0,237.0,17.4,2.7,21.76,1.341,1.379,1.814,0.38,2.82,1.442,0.825,0.0,1.187,1.866,1.905,0.689,0.944,0.797,1.062,1.09,0.341,1.01,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,1.32,1.28,1.17,70.0,0.0,1.32,0.0,0.0,70.03,animal food product
316.0,16.0,2.5,0.0,374.0,0.0,18.0,15.0,1.425,0.11,0.106,0.141,32.0,2.0,0.0,0.0,0.0,0.0,0.08,0.03,0.0,0.0,0.0,0.0,0.0,22.0,0.047,1.22,10.0,0.224,43.0,65.0,2.4,0.23,3.0,0.093,0.112,0.156,0.059,0.906,0.098,0.062,0.0,0.12,0.211,0.121,0.052,0.138,0.314,0.154,0.089,0.042,0.09,0.138,42.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,2.457,7.449,5.376,0.0,0.0,1.1,0.0,0.0,37.6,multi-component food product
29.0,0.4,0.1,0.0,3.0,7.5,27.0,0.0,1.28,0.315,0.07,0.04,1078.0,54.0,67.0,561.0,105.0,861.0,0.0,0.419,118.6,0.0,3.58,3.58,18.5,12.0,0.046,0.25,15.0,0.097,26.0,248.0,0.4,0.14,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.8,4.12,2.63,0.0,1.48,0.0,0.0,0.0,0.37,0.092,0.029,0.112,0.0,0.0,0.53,0.0,0.0,91.69,plant food product
148.0,0.9,0.2,0.0,35.0,0.0,19.0,0.0,1.64,0.116,0.149,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,30.0,1.386,2.0,24.0,0.532,45.0,586.0,0.7,1.39,11.6,0.397,0.412,1.735,0.197,0.8,0.39,0.241,0.0,0.425,0.64,0.592,0.143,0.451,0.679,0.464,0.451,0.252,0.353,0.599,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.222,0.234,0.174,0.0,0.0,2.0,0.0,0.0,57.4,plant food product
172.0,9.2,2.8,76.0,1107.0,53.1,10.0,0.0,3.979,1.074,0.303,0.426,6.0,2.0,0.0,0.0,0.0,0.0,0.99,0.427,0.0,24.0,0.24,0.24,1.3,40.0,0.19,1.25,22.0,0.02,266.0,216.0,26.4,2.32,19.2,0.947,1.067,1.486,0.159,2.497,0.759,0.477,0.0,0.796,1.219,1.442,0.443,0.607,0.637,0.681,0.681,0.174,0.605,0.813,1.55,0.1,1.12,0.0,0.0,0.0,0.0,0.0,0.0,9.21,2.783,3.172,2.466,76.0,0.0,1.68,0.0,0.0,68.8,animal food product
57.0,0.5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.5,0.0,67.0,3.0,1.0,39.0,1.0,64.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,37.0,0.119,0.26,14.0,1.973,24.0,203.0,0.0,0.11,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.93,3.9,0.0,3.92,0.0,3.67,0.0,0.0,0.57,0.47,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,84.29,plant food product
