calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,General_category
44.0,0.2,0.0,0.0,285.0,6.3,80.0,0.0,0.331,0.145,0.04,0.027,35.0,2.0,0.0,21.0,0.0,0.0,0.0,0.067,3.6,0.0,0.04,0.04,0.2,16.0,0.074,0.79,23.0,0.326,38.0,305.0,0.7,0.35,1.68,0.063,0.044,0.121,0.02,0.446,0.033,0.022,0.0,0.05,0.071,0.06,0.019,0.048,0.043,0.062,0.049,0.02,0.04,0.059,9.96,2.0,7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.028,0.035,0.064,0.0,0.0,1.12,0.0,0.0,87.06,animal food product
71.0,0.3,0.1,0.0,10.0,27.0,58.0,0.0,0.724,0.588,0.051,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,13.0,0.0,1.0,1.0,1.0,37.0,0.138,0.58,29.0,0.294,69.0,367.0,1.7,0.26,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.01,3.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.05,0.112,0.047,0.0,0.0,1.13,0.0,0.0,80.24,animal food product
129.0,4.4,1.8,47.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,22.24,1.286,1.496,2.048,0.237,3.622,0.991,0.734,0.112,0.974,1.841,2.001,0.649,0.867,0.915,0.874,1.007,0.255,0.789,1.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.77,1.846,0.291,47.0,0.0,1.09,0.0,0.0,72.52,animal food product
124.0,3.3,1.3,62.0,54.0,64.6,4.0,0.0,6.433,0.357,0.235,0.064,11.0,3.0,0.0,0.0,0.0,0.0,1.64,0.632,0.0,1.0,0.23,0.23,1.5,13.0,0.048,2.33,12.0,0.004,219.0,312.0,22.1,3.68,23.49,1.456,1.6,2.289,0.239,3.841,1.156,0.88,0.161,1.094,2.025,2.25,0.636,0.942,1.054,0.967,1.107,0.263,0.875,1.174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,1.287,1.481,0.238,62.0,0.0,1.12,0.0,0.0,72.64,animal food product
198.0,8.2,1.5,18.0,416.0,29.3,5.0,0.0,12.4,0.37,0.12,0.038,77.0,23.0,0.0,0.0,0.0,0.0,2.2,0.11,0.0,269.0,0.87,0.87,44.0,13.0,0.071,1.39,31.0,0.015,311.0,207.0,76.0,0.9,29.13,1.762,1.743,2.983,0.312,4.349,1.398,0.858,0.0,1.342,2.368,2.675,0.862,1.137,1.03,1.189,1.277,0.326,0.983,1.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21,1.534,2.949,2.885,18.0,0.0,2.76,0.0,0.0,59.83,animal food product
220.0,1.0,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.93,2.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.488,0.0,0.0,5.0,0.0,4.34,0.0,0.0,42.0,animal food product
279.0,12.0,5.6,28.0,806.0,0.0,0.0,0.0,3.553,0.457,0.253,0.337,266.0,80.0,0.0,0.0,0.0,0.0,0.36,0.103,0.5,0.0,0.93,0.93,8.4,235.0,0.107,2.35,27.0,0.313,354.0,185.0,33.3,1.67,13.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.86,1.9,0.0,2.25,0.0,2.02,0.0,0.0,0.0,11.68,5.63,2.905,1.79,28.0,0.0,3.19,0.0,0.0,41.78,animal food product
274.0,18.0,6.0,154.0,572.0,0.0,0.0,0.0,2.93,0.818,0.344,0.262,335.0,0.0,0.0,0.0,0.0,0.0,0.7,0.149,0.0,0.0,0.5,0.5,0.0,172.0,0.094,1.97,18.0,0.189,171.0,171.0,0.0,1.22,12.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.28,0.9,1.57,0.24,0.03,0.38,0.33,0.51,0.09,17.83,6.008,6.581,2.768,154.0,0.0,2.34,0.0,0.0,49.96,animal food product
376.0,29.0,19.0,93.0,690.0,0.0,18.0,0.0,0.18,0.19,0.45,0.031,1054.0,271.0,0.0,0.0,0.0,0.0,0.27,0.074,0.0,0.0,0.0,0.0,0.0,673.0,0.024,0.64,22.0,0.021,490.0,93.0,14.5,2.94,25.18,0.711,0.952,1.618,0.126,6.16,0.439,0.884,0.0,1.563,2.412,2.095,0.659,1.326,2.838,1.472,0.896,0.324,1.216,1.682,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,18.584,8.275,0.83,93.0,0.0,3.28,0.0,0.0,39.28,animal food product
113.0,4.2,2.6,11.0,317.0,13.5,8.0,0.0,1.072,0.468,0.041,0.086,138.0,38.0,0.0,9.0,0.0,7.0,0.07,0.222,6.0,10.0,0.12,0.12,2.0,24.0,0.138,0.26,18.0,0.114,45.0,284.0,0.8,0.27,1.86,0.058,0.075,0.374,0.02,0.329,0.052,0.042,0.0,0.082,0.123,0.106,0.033,0.083,0.101,0.077,0.071,0.033,0.074,0.107,16.81,1.5,1.43,0.24,0.0,0.29,0.71,0.0,0.15,4.22,2.613,1.07,0.199,11.0,0.0,1.5,0.0,0.0,75.61,animal food product
171.0,5.7,2.4,86.0,53.0,0.0,18.0,0.0,5.57,1.345,0.447,0.227,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.557,0.0,0.0,0.2,0.2,0.0,5.0,0.211,3.47,27.0,0.013,253.0,387.0,41.2,5.11,28.05,1.868,1.909,2.741,0.334,4.569,1.82,1.028,0.351,1.354,2.406,2.603,0.759,1.191,1.436,1.167,1.273,0.212,0.954,1.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.65,2.412,2.206,0.266,86.0,0.0,1.17,0.0,0.0,65.1,animal food product
283.0,13.0,5.0,28.0,663.0,0.0,0.0,0.0,2.053,0.537,0.125,0.143,152.0,46.0,0.0,0.0,0.0,0.0,0.55,0.16,0.9,0.0,0.77,0.77,5.0,209.0,0.108,0.9,28.0,0.305,213.0,268.0,24.1,1.64,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.67,2.8,0.0,1.35,0.0,1.31,0.0,0.97,0.0,12.86,4.973,4.354,1.827,28.0,0.0,2.88,0.0,0.0,42.38,animal food product
209.0,11.0,4.8,88.0,75.0,90.4,7.0,0.0,5.19,0.835,0.217,0.07,6.0,2.0,0.0,0.0,0.0,0.0,3.37,0.412,0.0,5.0,0.11,0.11,1.6,17.0,0.088,2.87,25.0,0.015,228.0,380.0,31.0,10.54,27.94,1.615,1.879,2.572,0.297,4.55,1.244,0.922,0.141,1.223,2.312,2.513,0.815,1.089,1.15,1.097,1.265,0.32,0.991,1.292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.79,4.83,5.39,0.48,88.0,0.0,1.03,0.0,0.0,60.79,animal food product
